Date,Weekday,Holiday name,Holiday type,Where it is observed
17-Jun,Tuesday,Bunker Hill Day,State holiday,Massachusetts
19-Jun,Thursday,Corpus Christi,Christian,
19-Jun,Thursday,Juneteenth,Local observance,"All except Am. Samoa, AZ, HI, MD, MP, MT, ND, NH, SD,UT, Virg. Is., Wake Is."
19-Jun,Thursday,Emancipation Day,State holiday,Texas
20-Jun,Friday,West Virginia Day,State holiday,West Virginia
21-Jun,Saturday,June Solstice,Season,
29-Jun,Sunday,Ramadan starts,Muslim,
4-Jul,Friday,Independence Day,National holiday,
24-Jul,Thursday,Lailat al-Qadr,Muslim,
24-Jul,Thursday,Pioneer Day,State holiday,Utah
27-Jul,Sunday,Parents' Day,Observance,
29-Jul,Tuesday,Eid al-Fitr,Muslim,
1-Aug,Friday,Colorado Day,Local observance,Colorado
5-Aug,Tuesday,Tisha B'Av,Jewish holiday,
11-Aug,Monday,Victory Day,State holiday,Rhode Island
15-Aug,Friday,Assumption of Mary,Christian,
15-Aug,Friday,Statehood Day in Hawaii,State holiday,Hawaii
15-Aug,Friday,Bennington Battle Day observed,State holiday,Vermont
16-Aug,Saturday,Bennington Battle Day,State holiday,Vermont
19-Aug,Tuesday,National Aviation Day,Observance,
21-Aug,Thursday,Senior Citizens Day,Observance,
26-Aug,Tuesday,Women's Equality Day,Observance,
27-Aug,Wednesday,Lyndon Baines Johnson Day,State holiday,Texas
1-Sep,Monday,Labor Day,National holiday,
6-Sep,Saturday,Carl Garner Federal Lands Cleanup Day,Observance,
7-Sep,Sunday,National Grandparents Day,Observance,
9-Sep,Tuesday,California Admission Day,Local observance,California
11-Sep,Thursday,Patriot Day,Observance,
17-Sep,Wednesday,Constitution Day and Citizenship Day,Observance,
19-Sep,Friday,National POW/MIA Recognition Day,Observance,
22-Sep,Monday,Emancipation Day,Local observance,Ohio
23-Sep,Tuesday,September equinox,Season,
25-Sep,Thursday,Rosh Hashana,State holiday,Texas
25-Sep,Thursday,Rosh Hashana,Jewish holiday,
26-Sep,Friday,Native Americans' Day,Local observance,California
28-Sep,Sunday,Gold Star Mother's Day,Observance,
4-Oct,Saturday,Yom Kippur,State holiday,Texas
4-Oct,Saturday,Feast of St Francis of Assisi,Christian,
4-Oct,Saturday,Yom Kippur,Jewish holiday,
4-Oct,Saturday,Eid al-Adha,Muslim,
6-Oct,Monday,Child Health Day,Observance,
9-Oct,Thursday,First Day of Sukkot,Jewish holiday,
9-Oct,Thursday,Leif Erikson Day,Observance,
13-Oct,Monday,Columbus Day,National holiday,"All except AK, AR, CA, DE, FL, HI, MI, MN, ND, NV, OR, SD,TX, VT, WA, WI, WY"
13-Oct,Monday,Columbus Day,Local observance,Florida
13-Oct,Monday,Native Americans' Day,Local observance,South Dakota
13-Oct,Monday,Indigenous People's Day,Local observance,"CA*, MN*, WA*"
15-Oct,Wednesday,Last Day of Sukkot,Jewish holiday,
15-Oct,Wednesday,White Cane Safety Day,Observance,
16-Oct,Thursday,Shmini Atzeret,Jewish holiday,
16-Oct,Thursday,Boss's Day,Observance,
17-Oct,Friday,Simchat Torah,Jewish holiday,
17-Oct,Friday,Alaska Day observed,State holiday,Alaska
18-Oct,Saturday,Alaska Day,State holiday,Alaska
22-Oct,Wednesday,Diwali/Deepavali,Observance,
25-Oct,Saturday,Muharram,Muslim,
31-Oct,Friday,Halloween,Observance,
31-Oct,Friday,Nevada Day,State holiday,Nevada
1-Nov,Saturday,All Saints' Day,Christian,
2-Nov,Sunday,All Souls' Day,Christian,
2-Nov,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time,
4-Nov,Tuesday,Election Day,State holiday,15 states
6-Nov,Thursday,Return Day Delaware,State holiday,Delaware
11-Nov,Tuesday,Veterans Day,National holiday,
27-Nov,Thursday,Thanksgiving Day,National holiday,
28-Nov,Friday,Robert E Lee's Birthday,State holiday,Georgia
28-Nov,Friday,Presidents' Day,State holiday,New Mexico
28-Nov,Friday,Lincoln's Birthday/Lincoln's Day,State holiday,"Indiana, West Virginia"
28-Nov,Friday,Black Friday,State holiday,24 states
28-Nov,Friday,American Indian Heritage Day,State holiday,Maryland
30-Nov,Sunday,First Sunday of Advent,Christian,
1-Dec,Monday,Cyber Monday,Observance,
6-Dec,Saturday,St Nicholas' Day,Observance,
7-Dec,Sunday,Pearl Harbor Remembrance Day,Observance,
8-Dec,Monday,Feast of the Immaculate Conception,Christian,
12-Dec,Friday,Feast of Our Lady of Guadalupe,Observance,
17-Dec,Wednesday,Chanukah/Hanukkah (first day),Jewish holiday,
17-Dec,Wednesday,Pan American Aviation Day,Observance,
17-Dec,Wednesday,Wright Brothers Day,Observance,
21-Dec,Sunday,December Solstice,Season,
24-Dec,Wednesday,Last Day of Chanukah,Jewish holiday,
24-Dec,Wednesday,Christmas Eve,"Observance, Christian",
24-Dec,Wednesday,Christmas Eve,State holiday,"KS*, LA, MI, NC, ND, OK, SC, TX, VA*, WI"
25-Dec,Thursday,Christmas Day,"National holiday, Christian",
26-Dec,Friday,Kwanzaa (until Jan 1),Observance,
26-Dec,Friday,Day After Christmas Day,State holiday,"KS, KY, NC, NC, NH, SC, TX, VA"
26-Dec,Friday,Washington's Birthday,State holiday,Indiana
31-Dec,Wednesday,New Year's Eve,Observance,
31-Dec,Wednesday,New Year's Eve,State holiday,"LA, MI, WI"
