,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
31,2836,12/1/2014 00:11:04,12/1/2014 00:58:20,532,S 5 Pl & S 4 St,40.710451,-73.960876,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,18165,Subscriber,1973.0,2
32,1068,12/1/2014 00:12:10,12/1/2014 00:29:58,459,W 20 St & 11 Ave,40.746745000000004,-74.007756,312,Allen St & E Houston St,40.722055,-73.989111,19667,Customer,,0
33,208,12/1/2014 00:12:17,12/1/2014 00:15:45,476,E 31 St & 3 Ave,40.74394314,-73.97966069,526,E 33 St & 5 Ave,40.74765947,-73.98490707,18496,Subscriber,1957.0,1
34,411,12/1/2014 00:13:13,12/1/2014 00:20:04,324,DeKalb Ave & Hudson Ave,40.689888,-73.981013,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,17552,Subscriber,1984.0,1
35,991,12/1/2014 00:13:18,12/1/2014 00:29:49,459,W 20 St & 11 Ave,40.746745000000004,-74.007756,312,Allen St & E Houston St,40.722055,-73.989111,18641,Customer,,0
36,207,12/1/2014 00:13:34,12/1/2014 00:17:01,433,E 13 St & Avenue A,40.72955361,-73.98057249,433,E 13 St & Avenue A,40.72955361,-73.98057249,18938,Subscriber,1987.0,1
37,572,12/1/2014 00:13:38,12/1/2014 00:23:10,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,494,W 26 St & 8 Ave,40.74734825,-73.99723551,18155,Subscriber,1976.0,1
38,30884,12/1/2014 00:13:40,12/1/2014 08:48:24,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,313,Washington Ave & Park Ave,40.69610226,-73.96751037,18090,Subscriber,1986.0,1
39,400,12/1/2014 00:13:42,12/1/2014 00:20:22,358,Christopher St & Greenwich St,40.73291553,-74.00711384,347,W Houston St & Hudson St,40.72873888,-74.00748842,19678,Subscriber,1963.0,1
40,121,12/1/2014 00:14:17,12/1/2014 00:16:18,494,W 26 St & 8 Ave,40.74734825,-73.99723551,442,W 27 St & 7 Ave,40.746646999999996,-73.993915,19525,Customer,,0
41,225,12/1/2014 00:14:48,12/1/2014 00:18:33,355,Bayard St & Baxter St,40.71602118,-73.99974372,330,Reade St & Broadway,40.71450451,-74.00562789,19646,Subscriber,1977.0,1
42,295,12/1/2014 00:14:53,12/1/2014 00:19:48,312,Allen St & E Houston St,40.722055,-73.989111,393,E 5 St & Avenue C,40.72299208,-73.97995466,16227,Subscriber,1978.0,1
43,1022,12/1/2014 00:15:20,12/1/2014 00:32:22,435,W 21 St & 6 Ave,40.74173969,-73.99415556,488,W 39 St & 9 Ave,40.75645824,-73.99372222,15027,Subscriber,1967.0,1
44,8103,12/1/2014 00:15:27,12/1/2014 02:30:30,295,Pike St & E Broadway,40.71406667,-73.99293911,412,Forsyth St & Canal St,40.715815500000005,-73.99422366,17483,Customer,,0
45,1378,12/1/2014 00:16:26,12/1/2014 00:39:24,479,9 Ave & W 45 St,40.76019252,-73.9912551,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,19947,Subscriber,1974.0,1
46,314,12/1/2014 00:17:32,12/1/2014 00:22:46,348,W Broadway & Spring St,40.72490985,-74.00154702,146,Hudson St & Reade St,40.71625008,-74.0091059,18174,Subscriber,1969.0,1
47,898,12/1/2014 00:17:51,12/1/2014 00:32:49,358,Christopher St & Greenwich St,40.73291553,-74.00711384,489,10 Ave & W 28 St,40.75066386,-74.00176802,18186,Subscriber,1977.0,1
48,471,12/1/2014 00:18:40,12/1/2014 00:26:31,237,E 11 St & 2 Ave,40.73047309,-73.98672378,361,Allen St & Hester St,40.71605866,-73.99190759,15302,Subscriber,1986.0,1
49,348,12/1/2014 00:18:48,12/1/2014 00:24:36,271,Ashland Pl & Hanson Pl,40.68528172,-73.97805813,323,Lawrence St & Willoughby St,40.69236178,-73.98631746,17203,Subscriber,1976.0,1
50,590,12/1/2014 00:20:47,12/1/2014 00:30:37,470,W 20 St & 8 Ave,40.74345335,-74.00004031,476,E 31 St & 3 Ave,40.74394314,-73.97966069,16232,Subscriber,1980.0,1
51,595,12/1/2014 00:21:48,12/1/2014 00:31:43,494,W 26 St & 8 Ave,40.74734825,-73.99723551,457,Broadway & W 58 St,40.76695317,-73.98169333,15271,Subscriber,1988.0,1
52,494,12/1/2014 00:21:58,12/1/2014 00:30:12,524,W 43 St & 6 Ave,40.75527307,-73.98316936,478,11 Ave & W 41 St,40.76030096,-73.99884222,15471,Subscriber,1958.0,1
53,671,12/1/2014 00:22:18,12/1/2014 00:33:29,348,W Broadway & Spring St,40.72490985,-74.00154702,337,Old Slip & Front St,40.703799200000006,-74.00838676,15474,Subscriber,1986.0,1
54,981,12/1/2014 00:23:22,12/1/2014 00:39:43,294,Washington Square E,40.73049393,-73.99572140000001,164,E 47 St & 2 Ave,40.75323098,-73.97032517,21332,Subscriber,1988.0,1
55,1297,12/1/2014 00:23:53,12/1/2014 00:45:30,368,Carmine St & 6 Ave,40.73038599,-74.00214988,391,Clark St & Henry St,40.69760127,-73.99344559,17014,Subscriber,1973.0,2
56,727,12/1/2014 00:23:57,12/1/2014 00:36:04,228,E 48 St & 3 Ave,40.7546011026,-73.971878855,448,W 37 St & 10 Ave,40.75660359,-73.9979009,20062,Subscriber,1982.0,1
57,804,12/1/2014 00:24:11,12/1/2014 00:37:35,476,E 31 St & 3 Ave,40.74394314,-73.97966069,150,E 2 St & Avenue C,40.720873600000004,-73.98085795,19423,Subscriber,1990.0,1
58,274,12/1/2014 00:24:32,12/1/2014 00:29:06,224,Spruce St & Nassau St,40.71146364,-74.00552427,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,18175,Subscriber,1989.0,1
